#     Name    Calibration Factor
      G176    0.20
      G175    0.20
      G150    0.20
      G149    0.20
      G148    0.20
      G147    0.20
      G146    0.20
      G145    0.20
      G120    0.20
      G119    0.20
      G118    0.20
      G117    0.20
      G116    0.20
      G115    0.20
       G90    0.20
       G89    0.20
       G88    0.20
       G87    0.20
       G86    0.20
       G85    0.20
       G60    0.20
       G59    0.20
       G58    0.20
       G57    0.20
       G56    0.20
       G55    0.20
       G30    0.20
       G29    0.20
       G28    0.20
       G27    0.20
       G26    0.20
       G25    0.20
      G626    0.20
      G625    0.20
      G600    0.20
      G599    0.20
      G598    0.20
      G597    0.20
      G596    0.20
      G595    0.20
      G570    0.20
      G569    0.20
      G568    0.20
      G567    0.20
      G566    0.20
      G565    0.20
      G540    0.20
      G539    0.20
      G538    0.20
      G537    0.20
      G536    0.20
      G535    0.20
      G510    0.20
      G509    0.20
      G508    0.20
      G507    0.20
      G506    0.20
      G505    0.20
      G480    0.20
      G479    0.20
      G478    0.20
      G477    0.20
      G476    0.20
      G475    0.20
      G205    0.20
      G180    0.20
      G179    0.20
      G178    0.20
      G177    0.20
      G298    0.20
      G297    0.20
      G296    0.20
      G295    0.20
      G270    0.20
      G269    0.20
      G268    0.20
      G267    0.20
      G266    0.20
      G265    0.20
      G240    0.20
      G239    0.20
      G238    0.20
      G237    0.20
      G236    0.20
      G235    0.20
      G210    0.20
      G209    0.20
      G208    0.20
      G207    0.20
      G206    0.20
      G655    0.20
      G630    0.20
      G629    0.20
      G628    0.20
      G627    0.20
      G748    0.20
      G747    0.20
      G746    0.20
      G745    0.20
      G720    0.20
      G719    0.20
      G718    0.20
      G717    0.20
      G716    0.20
      G715    0.20
      G690    0.20
      G689    0.20
      G688    0.20
      G687    0.20
      G686    0.20
      G685    0.20
      G660    0.20
      G659    0.20
      G658    0.20
      G657    0.20
      G656    0.20
      G450    0.20
      G449    0.20
      G448    0.20
      G447    0.20
      G446    0.20
      G445    0.20
      G420    0.20
      G419    0.20
      G418    0.20
      G417    0.20
      G416    0.20
      G415    0.20
      G390    0.20
      G389    0.20
      G388    0.20
      G387    0.20
      G386    0.20
      G385    0.20
      G360    0.20
      G359    0.20
      G358    0.20
      G357    0.20
      G356    0.20
      G355    0.20
      G330    0.20
      G329    0.20
      G328    0.20
      G327    0.20
      G326    0.20
      G325    0.20
      G300    0.20
      G299    0.20
      G900    0.20
      G899    0.20
      G898    0.20
      G897    0.20
      G896    0.20
      G895    0.20
      G870    0.20
      G869    0.20
      G868    0.20
      G867    0.20
      G866    0.20
      G865    0.20
      G840    0.20
      G839    0.20
      G838    0.20
      G837    0.20
      G836    0.20
      G835    0.20
      G810    0.20
      G809    0.20
      G808    0.20
      G807    0.20
      G806    0.20
      G805    0.20
      G780    0.20
      G779    0.20
      G778    0.20
      G777    0.20
      G776    0.20
      G775    0.20
      G750    0.20
      G749    0.20
      W168    0.20
      W169    0.20
      W135    0.20
      W136    0.20
      W102    0.20
      W134    0.20
      W100    0.20
      W101    0.20
       W67    0.20
       W68    0.20
       W34    0.20
       W66    0.20
       W32    0.20
       W33    0.20
      G173    0.20
      G174    0.20
      G144    0.20
      G172    0.20
      G142    0.20
      G143    0.20
      G113    0.20
      G114    0.20
       G84    0.20
      G112    0.20
       G82    0.20
       G83    0.20
       G53    0.20
       G54    0.20
       G24    0.20
       G52    0.20
       G22    0.20
       G23    0.20
      W847    0.20
      W848    0.20
      W845    0.20
      W846    0.20
      W815    0.20
      W816    0.20
      W813    0.20
      W814    0.20
      W811    0.20
      W812    0.20
      W781    0.20
      W782    0.20
      W779    0.20
      W780    0.20
      W777    0.20
      W778    0.20
      W747    0.20
      W748    0.20
      W714    0.20
      W746    0.20
      W712    0.20
      W713    0.20
      W679    0.20
      W680    0.20
      W646    0.20
      W678    0.20
      W644    0.20
      W645    0.20
      W611    0.20
      W612    0.20
      W578    0.20
      W610    0.20
      W236    0.20
      W233    0.20
      W234    0.20
      W203    0.20
      W204    0.20
      W170    0.20
      W202    0.20
      W305    0.20
      W306    0.20
      W303    0.20
      W304    0.20
      W301    0.20
      W302    0.20
      W271    0.20
      W272    0.20
      W269    0.20
      W270    0.20
      W267    0.20
      W268    0.20
      W237    0.20
      W238    0.20
      W235    0.20
      W882    0.20
      W879    0.20
      W880    0.20
      W849    0.20
      W850    0.20
      W986    0.20
     W1018    0.20
      W984    0.20
      W985    0.20
      W951    0.20
      W952    0.20
      W949    0.20
      W950    0.20
      W947    0.20
      W948    0.20
      W917    0.20
      W918    0.20
      W915    0.20
      W916    0.20
      W913    0.20
      W914    0.20
      W883    0.20
      W884    0.20
      W881    0.20
      W576    0.20
      W577    0.20
      W543    0.20
      W544    0.20
      W510    0.20
      W542    0.20
      W508    0.20
      W509    0.20
      W475    0.20
      W476    0.20
      W442    0.20
      W474    0.20
      W440    0.20
      W441    0.20
      W407    0.20
      W408    0.20
      W405    0.20
      W406    0.20
      W403    0.20
      W404    0.20
      W373    0.20
      W374    0.20
      W371    0.20
      W372    0.20
      W369    0.20
      W370    0.20
      W339    0.20
      W340    0.20
      W337    0.20
      W338    0.20
      W335    0.20
      W336    0.20
      G893    0.20
      G894    0.20
      G864    0.20
      G892    0.20
      G862    0.20
      G863    0.20
      G833    0.20
      G834    0.20
      G804    0.20
      G832    0.20
      G802    0.20
      G803    0.20
      G773    0.20
      G774    0.20
      G744    0.20
      G772    0.20
      G742    0.20
