#  it lists all the configuration for HyCal modules
#  type 0 -> lead-glass, type 1 -> lead-tungstate
#  geometry and tdc can also be calculated in the program
#  id  crate  slot  chan   TDC      type  size       x       y  HV crate  slot  chan
  G176     6    23     0    41         0  38.2   405.6  -358.4         1     0    41
  G175     6    23     1    41         0  38.2   367.4  -358.4         1     0    47
  G150     6    23     2    41         0  38.2   558.4  -396.6         1     0    42
  G149     6    23     3    41         0  38.2   520.2  -396.6         1     0    37
  G148     6    23     4    41         0  38.2     482  -396.6         1     0    32
  G147     6    23     5    41         0  38.2   443.8  -396.6         1     0    27
  G146     6    23     6    41         0  38.2   405.6  -396.6         1     0    22
  G145     6    23     7    41         0  38.2   367.4  -396.6         1     0    17
  G120     6    23     8    41         0  38.2   558.4  -434.8         1     0    12
  G119     6    23     9    41         0  38.2   520.2  -434.8         1     0     7
  G118     6    23    10    41         0  38.2     482  -434.8         1     0     2
  G117     6    23    11    41         0  38.2   443.8  -434.8         1     0    36
  G116     6    23    12    41         0  38.2   405.6  -434.8         1     0    45
  G115     6    23    13    41         0  38.2   367.4  -434.8         1     0    40
   G90     6    23    14    41         0  38.2   558.4    -473         1     0    35
   G89     6    23    15    41         0  38.2   520.2    -473         1     0    30
   G88     6    23    16    41         0  38.2     482    -473         1     0    25
   G87     6    23    17    41         0  38.2   443.8    -473         1     0    20
   G86     6    23    18    41         0  38.2   405.6    -473         1     0    15
   G85     6    23    19    41         0  38.2   367.4    -473         1     0    10
   G60     6    23    20    41         0  38.2   558.4  -511.2         1     0     5
   G59     6    23    21    41         0  38.2   520.2  -511.2         1     0    31
   G58     6    23    22    41         0  38.2     482  -511.2         1     0    48
   G57     6    23    23    41         0  38.2   443.8  -511.2         1     0    43
   G56     6    23    24    41         0  38.2   405.6  -511.2         1     0    38
   G55     6    23    25    41         0  38.2   367.4  -511.2         1     0    33
   G30     6    23    26    41         0  38.2   558.4  -549.4         1     0    28
   G29     6    23    27    41         0  38.2   520.2  -549.4         1     0    23
   G28     6    23    28    41         0  38.2     482  -549.4         1     0    18
   G27     6    23    29    41         0  38.2   443.8  -549.4         1     0    13
   G26     6    23    30    41         0  38.2   405.6  -549.4         1     0     8
   G25     6    23    31    41         0  38.2   367.4  -549.4         1     0     3
  G626     6    23    32    56         0  38.2   405.6   214.6         1     4    22
  G625     6    23    33    56         0  38.2   367.4   214.6         1     4    17
  G600     6    23    34    56         0  38.2   558.4   176.4         1     4    12
  G599     6    23    35    56         0  38.2   520.2   176.4         1     4     7
  G598     6    23    36    56         0  38.2     482   176.4         1     4     2
  G597     6    23    37    56         0  38.2   443.8   176.4         1     4    36
  G596     6    23    38    56         0  38.2   405.6   176.4         1     4    45
  G595     6    23    39    56         0  38.2   367.4   176.4         1     4    40
  G570     6    23    40    56         0  38.2   558.4   138.2         1     4    35
  G569     6    23    41    56         0  38.2   520.2   138.2         1     4    30
  G568     6    23    42    56         0  38.2     482   138.2         1     4    25
  G567     6    23    43    56         0  38.2   443.8   138.2         1     4    20
  G566     6    23    44    56         0  38.2   405.6   138.2         1     4    15
  G565     6    23    45    56         0  38.2   367.4   138.2         1     4    10
  G540     6    23    46    51         0  38.2   558.4     100         1     4     5
  G539     6    23    47    51         0  38.2   520.2     100         1     4    31
  G538     6    23    48    51         0  38.2     482     100         1     4    48
  G537     6    23    49    51         0  38.2   443.8     100         1     4    43
  G536     6    23    50    51         0  38.2   405.6     100         1     4    38
  G535     6    23    51    51         0  38.2   367.4     100         1     4    33
  G510     6    23    52    51         0  38.2   558.4    61.8         1     4    28
  G509     6    23    53    51         0  38.2   520.2    61.8         1     4    23
  G508     6    23    54    51         0  38.2     482    61.8         1     4    18
  G507     6    23    55    51         0  38.2   443.8    61.8         1     4    13
  G506     6    23    56    51         0  38.2   405.6    61.8         1     4     8
  G505     6    23    57    51         0  38.2   367.4    61.8         1     4     3
  G480     6    23    58    51         0  38.2   558.4    23.6         1     2    26
  G479     6    23    59    51         0  38.2   520.2    23.6         1     2    21
  G478     6    23    60    51         0  38.2     482    23.6         1     2    16
  G477     6    23    61    51         0  38.2   443.8    23.6         1     2    11
  G476     6    23    62    51         0  38.2   405.6    23.6         1     2     6
  G475     6    23    63    51         0  38.2   367.4    23.6         1     2     1
  G205     6    21     0    46         0  38.2   367.4  -320.2         1     0    24
  G180     6    21     1    41         0  38.2   558.4  -358.4         1     0    19
  G179     6    21     2    41         0  38.2   520.2  -358.4         1     0    14
  G178     6    21     3    41         0  38.2     482  -358.4         1     0     9
  G177     6    21     4    41         0  38.2   443.8  -358.4         1     0     4
  G298     6    21     6    46         0  38.2     482  -205.6         1     2    48
  G297     6    21     7    46         0  38.2   443.8  -205.6         1     2    43
  G296     6    21     8    46         0  38.2   405.6  -205.6         1     2    38
  G295     6    21     9    46         0  38.2   367.4  -205.6         1     2    33
  G270     6    21    10    46         0  38.2   558.4  -243.8         1     2    28
  G269     6    21    11    46         0  38.2   520.2  -243.8         1     2    23
  G268     6    21    12    46         0  38.2     482  -243.8         1     2    18
  G267     6    21    13    46         0  38.2   443.8  -243.8         1     2    13
  G266     6    21    14    46         0  38.2   405.6  -243.8         1     2     8
  G265     6    21    15    46         0  38.2   367.4  -243.8         1     2     3
  G240     6    21    16    46         0  38.2   558.4    -282         1     0    26
  G239     6    21    17    46         0  38.2   520.2    -282         1     0    21
  G238     6    21    18    46         0  38.2     482    -282         1     0    16
  G237     6    21    19    46         0  38.2   443.8    -282         1     0    11
  G236     6    21    20    46         0  38.2   405.6    -282         1     0     6
  G235     6    21    21    46         0  38.2   367.4    -282         1     0     1
  G210     6    21    22    46         0  38.2   558.4  -320.2         1     0    46
  G209     6    21    23    46         0  38.2   520.2  -320.2         1     0    44
  G208     6    21    24    46         0  38.2     482  -320.2         1     0    39
  G207     6    21    25    46         0  38.2   443.8  -320.2         1     0    34
  G206     6    21    26    46         0  38.2   405.6  -320.2         1     0    29
  G655     6    21    32    56         0  38.2   367.4   252.8         1     4    47
  G630     6    21    33    56         0  38.2   558.4   214.6         1     4    42
  G629     6    21    34    56         0  38.2   520.2   214.6         1     4    37
  G628     6    21    35    56         0  38.2     482   214.6         1     4    32
  G627     6    21    36    56         0  38.2   443.8   214.6         1     4    27
  G748     6    21    38    61         0  38.2   472.8   367.4         5     0    48
  G747     6    21    39    61         0  38.2   434.6   367.4         5     0    43
  G746     6    21    40    61         0  38.2   396.4   367.4         5     0    38
  G745     6    21    41    61         0  38.2   358.2   367.4         5     0    33
  G720     6    21    42    56         0  38.2   558.4   329.2         1     4    26
  G719     6    21    43    56         0  38.2   520.2   329.2         1     4    21
  G718     6    21    44    56         0  38.2     482   329.2         1     4    16
  G717     6    21    45    56         0  38.2   443.8   329.2         1     4    11
  G716     6    21    46    56         0  38.2   405.6   329.2         1     4     6
  G715     6    21    47    56         0  38.2   367.4   329.2         1     4     1
  G690     6    21    48    56         0  38.2   558.4     291         1     4    46
  G689     6    21    49    56         0  38.2   520.2     291         1     4    44
  G688     6    21    50    56         0  38.2     482     291         1     4    39
  G687     6    21    51    56         0  38.2   443.8     291         1     4    34
  G686     6    21    52    56         0  38.2   405.6     291         1     4    29
  G685     6    21    53    56         0  38.2   367.4     291         1     4    24
  G660     6    21    54    56         0  38.2   558.4   252.8         1     4    19
  G659     6    21    55    56         0  38.2   520.2   252.8         1     4    14
  G658     6    21    56    56         0  38.2     482   252.8         1     4     9
  G657     6    21    57    56         0  38.2   443.8   252.8         1     4     4
  G656     6    21    58    56         0  38.2   405.6   252.8         1     4    41
  G450     6    19     0    51         0  38.2   558.4   -14.6         1     2    46
  G449     6    19     1    51         0  38.2   520.2   -14.6         1     2    44
  G448     6    19     2    51         0  38.2     482   -14.6         1     2    39
  G447     6    19     3    51         0  38.2   443.8   -14.6         1     2    34
  G446     6    19     4    51         0  38.2   405.6   -14.6         1     2    29
  G445     6    19     5    51         0  38.2   367.4   -14.6         1     2    24
  G420     6    19     6    51         0  38.2   558.4   -52.8         1     2    19
  G419     6    19     7    51         0  38.2   520.2   -52.8         1     2    14
  G418     6    19     8    51         0  38.2     482   -52.8         1     2     9
  G417     6    19     9    51         0  38.2   443.8   -52.8         1     2     4
  G416     6    19    10    51         0  38.2   405.6   -52.8         1     2    41
  G415     6    19    11    51         0  38.2   367.4   -52.8         1     2    47
  G390     6    19    12    51         0  38.2   558.4     -91         1     2    42
  G389     6    19    13    51         0  38.2   520.2     -91         1     2    37
  G388     6    19    14    51         0  38.2     482     -91         1     2    32
  G387     6    19    15    51         0  38.2   443.8     -91         1     2    27
  G386     6    19    16    51         0  38.2   405.6     -91         1     2    22
  G385     6    19    17    51         0  38.2   367.4     -91         1     2    17
  G360     6    19    18    46         0  38.2   558.4  -129.2         1     2    12
  G359     6    19    19    46         0  38.2   520.2  -129.2         1     2     7
  G358     6    19    20    46         0  38.2     482  -129.2         1     2     2
