#       name       crate        slot     channel
          G4           1           0          64
         G25           1           0          65
          W6           1           0          66
         G10           1           0          67
         W11           1           0          68
          G5           1           0          69
         W18           1           0          70
         W15           1           0          72
          W9           1           0          73
         W20           1           0          74
         W33           1           0          75
          W8           1           0          76
         W27           1           0          77
         W21           1           0          78
          W2           1           0          80
         W26           1           0          81
          W7           1           0          82
          W1           1           0          83
          W3           1           0          84
         W14           1           0          85
         W24           1           0          88
         G24           1           0          89
         G20           1           0          90
         G15           1           0          91
         W12           1           0          92
         W36           1           0          93
         W30           1           0          94
         G11           1           0          96
         G22           1           0          97
         W25           1           0          98
         W13           1           0          99
          G2           1           0         100
         W32           1           0         101
         W28           1           0         104
          W4           1           0         105
         W10           1           0         106
         W16           1           0         107
         W22           1           0         108
          G3           1           0         109
         G23           1           0         110
          G1           1           0         112
          G6           1           0         113
         G16           1           0         114
         G21           1           0         115
         W31           1           0         116
         W19           1           0         117
         W23           1           0         120
         W34           1           0         121
         W17           1           0         122
         W35           1           0         123
         W29           1           0         124
          W5           1           0         125
          S1           1           0         126
          S2           1           0         127
