# DSC id    channel     name
      4        1        G4
      4        2        G25
      4        3        W6
      4        4        G10
      4        5        W11
      4        6        G5
      4        7        W18
      4        8        NONE
      4        9        W15
      4        10       W9
      4        11       W20
      4        12       W33
      4        13       W8
      4        14       W27
      4        15       W21
      4        16       NONE
      3        1        W2
      3        2        W26
      3        3        W7
      3        4        W1
      3        5        W3
      3        6        W14
      3        7        NONE
      3        8        NONE
      3        9        W24
      3        10       G24
      3        11       G20
      3        12       G15
      3        13       W12
      3        14       W36
      3        15       W30
      3        16       NONE
      2        1        G11
      2        2        G22
      2        3        W25
      2        4        W13
      2        5        G2
      2        6        W32
      2        7        NONE
      2        8        NONE
      2        9        W28
      2        10       W4
      2        11       W10
      2        12       W16
      2        13       W22
      2        14       G3
      2        15       G23
      2        16       NONE
      1        1        G1
      1        2        G6
      1        3        G16
      1        4        G21
      1        5        W31
      1        6        W19
      1        7        NONE
      1        8        NONE
      1        9        W23
      1        10       W34
      1        11       W17
      1        12       W35
      1        13       W29
      1        14       W5
      1        15       S1  #Scintillator
      1        16       S2  #Scintillator
      0        1        T1  #TI TS Input
      0        2        T2
      0        3        T3
      0        4        T4
      0        5        T5
      0        6        T6
